polkit 122-1
poppler 22.11.0-1
poppler-data 0.4.11-2
popt 1.19-1
portaudio 1:19.7.0-1
ppp 2.4.9-3
procps-ng 3.3.17-1
psmisc 23.5-1
pulsemixer 1.5.1-3
python 3.10.8-3
python-attrs 22.1.0-1
python-cairo 1.21.0-1
python-certifi 2022.09.24-1
python-docopt 0.6.2-11
python-gobject 3.42.2-1
python-helpdev 0.7.1-5
python-importlib-metadata 5.0.0-1
python-packaging 21.3-1
python-pillow 9.3.0-1
python-psutil 5.9.4-1
python-pyparsing 3.0.9-1
python-pyqt5 5.15.7-3
python-pyqt5-sip 12.11.0-1
python-qdarkstyle 3.1-1
python-qtpy 2.2.1-1
python-six 1.16.0-6
python-xlib 0.31-3
python-zipp 3.10.0-1
qt5-base 5.15.7+kde+r173-1
qt5-translations 5.15.7-1
rav1e 0.5.1-2
readline 8.2.001-1
rsync 3.2.7-2
rubberband 3.1.1-1
run-parts 5.5-1
rust 1:1.65.0-1
sbc 2.0-1
sc-im 0.8.2-1
scdoc 1.11.2-4
screen 4.9.0-1
sdl2 2.24.2-1
sed 4.8-1
serd 0.30.16-1
sfsexp 1.4.0-1
shaderc 2022.1-4
shadow 4.12.3-2
shared-mime-info 2.0+155+gf4e7cbc-1
simple-mtpfs 0.4.0-1
slang 2.3.3-1
slock 1.5-1
slop 7.6-2
smbclient 4.17.2-2
socat 1.7.4.3-2
sof-firmware 2.2.2-1
sord 0.16.14-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.1-1
sqlite 3.39.4-1
sratom 0.6.14-1
srt 1.5.1-3
startup-notification 0.12-7
stfl 0.24-5
sudo 1.9.12.p1-1
svt-av1 1.3.0-1
sxiv 26-1
sysfsutils 2.1.1-1
systemd 252.1-1
systemd-libs 252.1-1
systemd-resolvconf 252.1-1
systemd-sysvcompat 252.1-1
taglib 1.13-1
talloc 2.3.4-1
tar 1.34-1
task-spooler 1.0.1-4
tdb 1.4.7-1
tevent 1:0.13.0-1
texinfo 7.0-1
thinkfan-ui 0.8.1-1
tinyxml2 9.0.0-1
tpm2-tss 3.2.0-3
tracker3 3.4.1-1
tree 2.0.4-1
tree-sitter 0.20.7-1
tslib 1.22-1
ttf-font-awesome 6.2.0-1
ttf-linux-libertine 5.3.0-8
twolame 0.4.0-2
tzdata 2022f-1
uchardet 0.0.7-1
ueberzug 18.1.9-4
unclutter 1:1.6-2
unibilium 2.1.1-1
unzip 6.0-19
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
vid.stab 1.1-3
vim 9.0.0814-1
vim-runtime 9.0.0814-1
vmaf 2.3.1-1
vulkan-icd-loader 1.3.226-1
wavpack 5.5.0-1
wayland 1.21.0-1
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
which 2.21-5
whois 5.5.14-1
wildmidi 0.4.4-1
wireplumber 0.4.12-1
wpa_supplicant 2:2.10-7
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapian-core 1:1.4.21-1
xcape 1.2-4
xcb-proto 1.15.2-1
xcb-util 0.4.0-4
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xclip 0.13-3
xcompmgr 1.1.8-3
xdg-utils 1.1.3+25+g8ae0263-1
xdotool 3.20211022.1-1
xf86-input-libinput 1.2.1-1
xf86-video-intel-git 1:2.99.917+916+g31486f40-1
xkeyboard-config 2.37-1
xorg-fonts-encodings 1.0.6-1
xorg-server 21.1.4-1
xorg-server-common 21.1.4-1
xorg-server-devel 21.1.4-1
xorg-setxkbmap 1.3.3-1
xorg-util-macros 1.19.3-1
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xdpyinfo 1.3.3-4
xorg-xinit 1.4.1-3
xorg-xkbcomp 1.4.5-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xset 1.2.4-3
xorg-xwininfo 1.1.5-3
xorgproto 2022.2-1
xvidcore 1.3.7-2
xwallpaper 0.7.4-1
xxhash 0.8.1-2
xz 5.2.7-1
yajl 2.1.0-5
yt-dlp 2022.11.11-1
zathura 0.5.1-1
zathura-pdf-mupdf 0.3.9-1
zeromq 4.3.4-2
zimg 3.0.4-1
zlib 1:1.2.13-1
zram-generator 1.1.2-1
zsh 5.9-1
zsh-fast-syntax-highlighting-git r907.770bcd9-1
zstd 1.5.2-7
zziplib 0.13.72-1
